concept,tradition,n_now
anthropomorphism,finnic,219
prayer,finnic,78
divine_providence,celtic,70
divine_providence,finnic,61
numerical_mysticism,finnic,52
sacred_names,finnic,48
anthropomorphism,celtic,46
ritual_fire,finnic,42
prayer,celtic,42
spiritual_ascent,buddhism,41
letters_of_creation,western_esoteric,41
prayer,native_american,32
cosmic_sympathy,finnic,32
anthropomorphism,mandaean,30
alchemical_work,finnic,30
return_to_source,buddhism,29
love_of_neighbour,celtic,29
divine_light,mandaean,29
separation_from_source,finnic,28
divine_light,platonism,27
living_god,norse,26
living_god,hinduism,26
cosmic_dualism,mandaean,26
divine_light,finnic,25
unity_of_being,hinduism,24
soul_migration,platonism,24
psychopomp_journey,finnic,24
living_god,native_american,24
sephirot,western_esoteric,23
hidden_sayings,celtic,23
divine_marriage,finnic,23
body_as_obstacle,buddhism,23
anthropomorphism,norse,23
ritual_purity,finnic,22
return_to_source,hinduism,22
theurgy,celtic,21
ritual_fire,neoplatonism,21
permutation_of_letters,western_esoteric,21
divine_providence,native_american,21
pneumatic_elect,platonism,20
gnosis_direct_knowledge,hinduism,20
funerary_navigation,finnic,20
ritual_fire,western_esoteric,19
prayer,mandaean,19
love_of_neighbour,finnic,19
correspondence,finnic,19
mystical_union,hinduism,18
hidden_sayings,finnic,18
fasting_and_prayer,native_american,18
emanation_hierarchy,platonism,17
anthropomorphism,native_american,17
self_examination,buddhism,16
renunciation_of_wealth,finnic,16
meditation,hinduism,16
covenant,celtic,16
spiritual_ascent,mandaean,15
sacred_names,mandaean,15
return_to_source,mandaean,15
love_of_neighbour,native_american,15
gnosis_direct_knowledge,mandaean,15
childlike_innocence,finnic,15
sacred_names,celtic,14
forbidden_knowledge,finnic,14
eschatological_judgment,mandaean,14
divine_providence,hinduism,14
covenant,finnic,14
ritual_purity,celtic,13
ritual_fire,native_american,13
renunciation_of_wealth,celtic,13
funerary_navigation,western_esoteric,13
cosmic_sympathy,native_american,13
correspondence,native_american,13
psychopomp_journey,native_american,12
mechanical_humanity,platonism,12
hidden_sayings,norse,12
funerary_navigation,platonism,12
cosmic_sympathy,celtic,12
cosmic_dualism,norse,12
sacred_names,norse,11
ritual_purity,mandaean,11
psychopomp_journey,platonism,11
logos,platonism,11
divine_intoxication,neoplatonism,11
renunciation_of_wealth,hinduism,10
paradox_as_teaching,celtic,10
numerical_mysticism,native_american,10
numerical_mysticism,celtic,10
monad,platonism,10
inner_light,buddhism,10
divine_hiddenness,hinduism,10
covenant,native_american,10
cosmic_dualism,celtic,10
apophatic_theology,hinduism,10
self_examination,finnic,9
rejection_of_hypocrisy,native_american,9
opposites_transcended,hinduism,9
infinite_cosmos,gnosticism,9
gnosis_direct_knowledge,celtic,9
eschatological_judgment,norse,9
divine_hiddenness,native_american,9
spiritual_ascent,finnic,8
return_to_source,finnic,8
funerary_navigation,buddhism,8
eschatological_judgment,buddhism,8
divine_providence,norse,8
divine_light,hinduism,8
divine_hiddenness,finnic,8
correspondence,celtic,8
wu_wei,hinduism,7
theurgy,native_american,7
theosis_deification,buddhism,7
sacred_names,native_american,7
renunciation_of_wealth,native_american,7
prayer,hinduism,7
paradox_as_teaching,norse,7
inner_silence,hinduism,7
inner_light,hinduism,7
eschatological_judgment,celtic,7
divine_hiddenness,celtic,7
alchemical_work,celtic,7
ritual_fire,celtic,6
rejection_of_hypocrisy,hinduism,6
microcosm_macrocosm,finnic,6
kingdom_within,hinduism,6
hidden_sayings,native_american,6
hidden_sayings,hinduism,6
heroic_furor,finnic,6
forbidden_knowledge,celtic,6
divine_light,buddhism,6
childlike_innocence,celtic,6
body_as_obstacle,mandaean,6
archons,western_esoteric,6
spiritual_ascent,celtic,5
separation_from_source,mandaean,5
separation_from_source,celtic,5
renunciation_of_wealth,mandaean,5
rejection_of_hypocrisy,norse,5
psychopomp_journey,norse,5
numerical_mysticism,norse,5
monad,hinduism,5
letters_of_creation,renaissance_hermeticism,5
letters_of_creation,gnosticism,5
letter_meditation,western_esoteric,5
inner_silence,norse,5
forbidden_knowledge,norse,5
fasting_and_prayer,celtic,5
divine_marriage,native_american,5
divine_madness,celtic,5
divine_intoxication,finnic,5
body_as_obstacle,finnic,5
asha_cosmic_order,western_esoteric,5
anthropomorphism,hinduism,5
angra_mainyu_principle,western_esoteric,5
aeons,western_esoteric,5
