concept,tradition,n_now,home_n,home_top,gold_convicted
living_god,finnic,191,941,"egyptian:224, greek_mystery:164, zoroastrianism:109",True
theurgy,finnic,85,255,"greek_mystery:104, egyptian:90, jewish_mysticism:14",True
living_god,celtic,80,941,"egyptian:224, greek_mystery:164, zoroastrianism:109",True
cosmic_dualism,finnic,59,719,"neoplatonism:128, zoroastrianism:119, christian_mysticism:103",True
kingdom_within,buddhism,32,499,"neoplatonism:123, christian_mysticism:116, taoism:52",True
living_god,mandaean,30,941,"egyptian:224, greek_mystery:164, zoroastrianism:109",True
cosmic_dualism,mandaean,26,719,"neoplatonism:128, zoroastrianism:119, christian_mysticism:103",True
living_god,norse,26,941,"egyptian:224, greek_mystery:164, zoroastrianism:109",True
living_god,hinduism,26,941,"egyptian:224, greek_mystery:164, zoroastrianism:109",True
ritual_purity,native_american,26,282,"greek_mystery:91, egyptian:85, zoroastrianism:41",True
detachment_gelassenheit,hinduism,26,297,"taoism:114, christian_mysticism:60, western_esoteric:25",True
living_god,native_american,24,941,"egyptian:224, greek_mystery:164, zoroastrianism:109",True
soul_migration,platonism,24,93,"neoplatonism:36, greek_mystery:17, renaissance_hermeticism:10",True
ritual_purity,finnic,22,282,"greek_mystery:91, egyptian:85, zoroastrianism:41",True
theurgy,celtic,21,255,"greek_mystery:104, egyptian:90, jewish_mysticism:14",True
gnosis_direct_knowledge,hinduism,20,809,"neoplatonism:174, western_esoteric:127, christian_mysticism:89",True
soul_migration,hinduism,18,93,"neoplatonism:36, greek_mystery:17, renaissance_hermeticism:10",True
self_knowledge,hinduism,17,482,"neoplatonism:142, christian_mysticism:81, western_esoteric:76",True
meditation,hinduism,16,138,"taoism:25, christian_mysticism:17, greek_mystery:17",True
gnosis_direct_knowledge,mandaean,15,809,"neoplatonism:174, western_esoteric:127, christian_mysticism:89",True
childlike_innocence,finnic,15,72,"taoism:36, christian_mysticism:13, gnosticism:8",True
eschatological_judgment,mandaean,14,284,"jewish_mysticism:101, zoroastrianism:65, egyptian:57",True
ritual_purity,celtic,13,282,"greek_mystery:91, egyptian:85, zoroastrianism:41",True
cosmic_dualism,norse,12,719,"neoplatonism:128, zoroastrianism:119, christian_mysticism:103",True
ritual_purity,mandaean,11,282,"greek_mystery:91, egyptian:85, zoroastrianism:41",True
cosmic_dualism,celtic,10,719,"neoplatonism:128, zoroastrianism:119, christian_mysticism:103",True
divine_hiddenness,hinduism,10,540,"neoplatonism:90, taoism:88, western_esoteric:59",True
monad,platonism,10,601,"neoplatonism:376, taoism:52, greek_mystery:43",True
gnosis_direct_knowledge,celtic,9,809,"neoplatonism:174, western_esoteric:127, christian_mysticism:89",True
divine_hiddenness,native_american,9,540,"neoplatonism:90, taoism:88, western_esoteric:59",True
eschatological_judgment,norse,9,284,"jewish_mysticism:101, zoroastrianism:65, egyptian:57",True
divine_hiddenness,finnic,8,540,"neoplatonism:90, taoism:88, western_esoteric:59",True
eschatological_judgment,buddhism,8,284,"jewish_mysticism:101, zoroastrianism:65, egyptian:57",True
divine_hiddenness,celtic,7,540,"neoplatonism:90, taoism:88, western_esoteric:59",True
theosis_deification,buddhism,7,347,"christian_mysticism:109, egyptian:88, renaissance_hermeticism:30",True
eschatological_judgment,celtic,7,284,"jewish_mysticism:101, zoroastrianism:65, egyptian:57",True
theurgy,native_american,7,255,"greek_mystery:104, egyptian:90, jewish_mysticism:14",True
kingdom_within,hinduism,6,499,"neoplatonism:123, christian_mysticism:116, taoism:52",True
childlike_innocence,celtic,6,72,"taoism:36, christian_mysticism:13, gnosticism:8",True
monad,hinduism,5,601,"neoplatonism:376, taoism:52, greek_mystery:43",True
anthropomorphism,finnic,219,755,"egyptian:281, greek_mystery:174, jewish_mysticism:53",False
prayer,finnic,78,437,"greek_mystery:116, zoroastrianism:104, egyptian:100",False
divine_providence,celtic,70,514,"neoplatonism:99, jewish_mysticism:86, greek_mystery:79",False
divine_providence,finnic,61,514,"neoplatonism:99, jewish_mysticism:86, greek_mystery:79",False
numerical_mysticism,finnic,52,351,"jewish_mysticism:75, egyptian:56, neoplatonism:47",False
sacred_names,finnic,48,522,"egyptian:233, greek_mystery:111, jewish_mysticism:62",False
anthropomorphism,celtic,46,755,"egyptian:281, greek_mystery:174, jewish_mysticism:53",False
ritual_fire,finnic,42,183,"greek_mystery:97, egyptian:40, zoroastrianism:24",False
prayer,celtic,42,437,"greek_mystery:116, zoroastrianism:104, egyptian:100",False
spiritual_ascent,buddhism,41,755,"neoplatonism:211, egyptian:147, western_esoteric:83",False
letters_of_creation,western_esoteric,41,34,jewish_mysticism:34,False
prayer,native_american,32,437,"greek_mystery:116, zoroastrianism:104, egyptian:100",False
cosmic_sympathy,finnic,32,189,"neoplatonism:66, greek_mystery:32, christian_mysticism:24",False
anthropomorphism,mandaean,30,755,"egyptian:281, greek_mystery:174, jewish_mysticism:53",False
alchemical_work,finnic,30,158,"christian_mysticism:80, renaissance_hermeticism:27, sufism:14",False
return_to_source,buddhism,29,697,"neoplatonism:222, christian_mysticism:102, taoism:75",False
